"ESPA","Luleå Airport","SE",65
"ESMS","Malmö Sturup Airport","SE",236
"ESSA","Stockholm-Arlanda Airport","SE",137
"HSSS","Khartoum International Airport","SD",1265
"FSIA","Seychelles International Airport","SC",10
"OEDR","King Abdulaziz Air Base","SA",84
"OEJN","King Abdulaziz International Airport","SA",48
"OEDF","King Fahd International Airport","SA",72
"OERK","King Khaled International Airport","SA",2049
"OEMA","Prince Mohammad Bin Abdulaziz Airport","SA",2151
"HRYR","Kigali International Airport","RW",4859
"UWKG","Borisoglebskoye Airport","RU",213
"UUDD","Domodedovo International Airport","RU",588
"RU-0035","Grozny North Airport","RU",548
"UWKD","Kazan International Airport","RU",411
"UHHH","Khabarovsk-Novy Airport","RU",244
"USSS","Koltsovo Airport","RU",764
"UWWW","Kurumoch International Airport","RU",477
"RU-0016","Lipetsk Air Base","RU",636
"RU-4464","Olenya Air Base","RU",702
"URRP","Platov International Airport","RU",213
"ULLI","Pulkovo Airport","RU",78
"UUEE","Sheremetyevo International Airport","RU",622
"URSS","Sochi International Airport","RU",89
"UNNT","Tolmachevo Airport","RU",365
"UWUU","Ufa International Airport","RU",449
"RU-2244","Ukrainka Air Base","RU",771
"UUWW","Vnukovo International Airport","RU",685
"UNKL","Yemelyanovo Airport","RU",942
"UUBW","Zhukovsky International Airport","RU",377
"LYBE","Belgrade Nikola Tesla Airport","RS",335
"LROP","Henri Coandă International Airport","RO",314
"QA-0001","Hamad International Airport","QA",13
"LPFR","Faro Airport","PT",24
"LPPR","Francisco de Sá Carneiro Airport","PT",228
"LPPT","Humberto Delgado Airport (Lisbon Portela Airport)","PT",374
"LPPD","João Paulo II Airport","PT",259
"LPLA","Lajes Airport","PT",180
"TJSJ","Luis Munoz Marin International Airport","PR",9
"EPWR","Copernicus Wrocław Airport","PL",404
"EPGD","Gdańsk Lech Wałęsa Airport","PL",489
"EPKT","Katowice International Airport","PL",995
"EPKK","Kraków John Paul II International Airport","PL",791
"EPMO","Modlin Airport","PL",341
"EPPO","Poznań-Ławica Airport","PL",308
"EPWA","Warsaw Chopin Airport","PL",362
"PK-0001","New Islamabad International Airport","PK",1646
"OPST","Sialkot Airport","PK",837
"RPLC","Diosdado Macapagal International Airport","PH",484
"RPMD","Francisco Bangoy International Airport","PH",96
"PH-0001","Laguindingan Airport","PH",190
"RPVM","Mactan Cebu International Airport","PH",31
"RPLL","Ninoy Aquino International Airport","PH",75
"PH-0073","Northern Cagayan International Airport","PH",
"AYPY","Port Moresby Jacksons International Airport","PG",146
"NTAA","Faa'a International Airport","PF",5
"SPZO","Alejandro Velasco Astete International Airport","PE",10860
"SPIM","Jorge Chávez International Airport","PE",113
"MPTO","Tocumen International Airport","PA",135
"OM-0003","Duqm International Airport","OM",364
"OOMS","Muscat International Airport","OM",48
"OM-0004","Rustaq Airport","OM",349
"NZAA","Auckland International Airport","NZ",23
"NZCH","Christchurch International Airport","NZ",123
"NZWN","Wellington International Airport","NZ",41
"VNKT","Tribhuvan International Airport","NP",4390
"ENBR","Bergen Airport Flesland","NO",170
"ENBO","Bodø Airport","NO",42
"ENGM","Oslo Gardermoen Airport","NO",681
"ENZV","Stavanger Airport Sola","NO",29
"ENTC","Tromsø Airport","NO",31
"ENVA","Trondheim Airport Værnes","NO",56
"EHAM","Amsterdam Airport Schiphol","NL",-11
"EHEH","Eindhoven Airport","NL",74
"DNAI","Akwa Ibom International Airport","NG",170
"DNKN","Mallam Aminu International Airport","NG",1562
"DNMM","Murtala Muhammed International Airport","NG",135
"DNAA","Nnamdi Azikiwe International Airport","NG",1123
"DRRN","Diori Hamani International Airport","NE",732
"FYWH","Hosea Kutako International Airport","NA",5640
"FQMA","Maputo Airport","MZ",145
"WMKK","Kuala Lumpur International Airport","MY",69
"MMUN","Cancún International Airport","MX",22
"MMGL","Don Miguel Hidalgo Y Costilla International Airport","MX",5016
"MMTJ","General Abelardo L. Rodríguez International Airport","MX",489
"MMHO","General Ignacio P. Garcia International Airport","MX",627
"MMAA","General Juan N Alvarez International Airport","MX",16
"MMMY","General Mariano Escobedo International Airport","MX",1278
"MMMX","Licenciado Benito Juarez International Airport","MX",7316
"MMPR","Licenciado Gustavo Díaz Ordaz International Airport","MX",23
"MMSD","Los Cabos International Airport","MX",374
"VRMM","Malé International Airport","MV",6
"FIMP","Sir Seewoosagur Ramgoolam International Airport","MU",186
"LMML","Malta International Airport","MT",300
"GQNO","Nouakchott–Oumtounsy International Airport","MR",9
"VMMC","Macau International Airport","MO",20
"ZMUB","Chinggis Khaan International Airport","MN",4364
"VYMD","Mandalay International Airport","MM",300
"VYYY","Yangon International Airport","MM",109
"GABS","Modibo Keita International Airport","ML",1247
"LWSK","Skopje Alexander the Great Airport","MK",781
"FMMI","Ivato Airport","MG",4198
"LYPG","Podgorica Airport","ME",141
"GMMN","Mohammed V International Airport","MA",656
"HLLT","Tripoli International Airport","LY",263
"EVRA","Riga International Airport","LV",36
"ELLX","Luxembourg-Findel International Airport","LU",1234
"EYVI","Vilnius International Airport","LT",648
"GLRB","Roberts International Airport","LR",31
"VCBI","Bandaranaike International Colombo Airport","LK",30
"VCRI","Mattala Rajapaksa International Airport","LK",157
"OLBA","Beirut Rafic Hariri International Airport","LB",87
"UAAA","Almaty Airport","KZ",2234
"UACC","Astana International Airport","KZ",1165
"UAKK","Sary-Arka Airport","KZ",1765
"MWCR","Owen Roberts International Airport","KY",8
"OKBK","Kuwait International Airport","KW",206
"RKTU","Cheongju International Airport/Cheongju Air Base (K-59/G-513)","KR",191
"RKPK","Gimhae International Airport","KR",6
"RKSS","Gimpo International Airport","KR",59
"RKSI","Incheon International Airport","KR",23
"RKPC","Jeju International Airport","KR",118
"RKJK","Kunsan Air Base","KR",29
"RKJB","Muan International Airport","KR",35
"RKSO","Osan Air Base","KR",38
"VDPP","Phnom Penh International Airport","KH",40
"VDSR","Siem Reap International Airport","KH",60
"UAFM","Manas International Airport","KG",2058
"HKJK","Jomo Kenyatta International Airport","KE",5330
"HKMO","Mombasa Moi International Airport","KE",200
"RJGG","Chubu Centrair International Airport","JP",15
"RJFF","Fukuoka Airport","JP",32
"RODN","Kadena Air Base","JP",143
"RJFK","Kagoshima Airport","JP",906
"RJBB","Kansai International Airport","JP",26
"rjns","Mt. Fuji Shizuoka Airport","JP",433
"ROAH","Naha Airport","JP",12
"RJAA","Narita International Airport","JP",141
"RJCC","New Chitose Airport","JP",82
"RJOO","Osaka International Airport","JP",50
"RJTT","Tokyo Haneda International Airport","JP",35
"RJTY","Yokota Air Base","JP",463
"OJAI","Queen Alia International Airport","JO",2395
"MKJP","Norman Manley International Airport","JM",10
"LIBD","Bari Karol Wojtyła Airport","IT",177
"LIPE","Bologna Guglielmo Marconi Airport","IT",123
"LIEE","Cagliari Elmas Airport","IT",13
"LICC","Catania-Fontanarossa Airport","IT",39
"LIRA","Ciampino–G. B. Pastine International Airport","IT",427
"LICJ","Falcone–Borsellino Airport","IT",65
"LIMJ","Genoa Cristoforo Colombo Airport","IT",13
"LIME","Il Caravaggio International Airport","IT",782
"LIRF","Leonardo da Vinci–Fiumicino Airport","IT",13
"LIMC","Malpensa International Airport","IT",768
"LIML","Milano Linate Airport","IT",353
"LIRN","Naples International Airport","IT",294
"LIRP","Pisa International Airport","IT",6
"LIPH","Treviso-Sant'Angelo Airport","IT",59
"LIMF","Turin Airport","IT",989
"LIPZ","Venice Marco Polo Airport","IT",7
"LIPX","Verona Villafranca Airport","IT",239
"BIKF","Keflavik International Airport","IS",171
"OIIE","Imam Khomeini International Airport","IR",3305
"OIMM","Mashhad International Airport","IR",3263
"OIII","Mehrabad International Airport","IR",3962
"OISS","Shiraz Shahid Dastghaib International Airport","IR",4920
"OITT","Tabriz International Airport","IR",4459
"ORBI","Baghdad International Airport","IQ",114
"ORMM","Basrah International Airport","IQ",11
"VOCL","Calicut International Airport","IN",342
"VOMM","Chennai International Airport","IN",52
"VABB","Chhatrapati Shivaji International Airport","IN",39
"VOCI","Cochin International Airport","IN",30
"VAGO","Dabolim Airport","IN",150
"VIDP","Indira Gandhi International Airport","IN",777
"VOBL","Kempegowda International Airport","IN",3000
"VECC","Netaji Subhash Chandra Bose International Airport","IN",16
"VOHS","Rajiv Gandhi International Airport","IN",2024
