”code”,”name”,”elevation_ft”,”iso_country”
”KOKC”,”Will Rogers World Airport”,1295,”US”
”KHOU”,”William P Hobby Airport”,46,”US”
”KFFO”,”Wright-Patterson Air Force Base”,823,”US”
”KCRW”,”Yeager Airport”,981,”US”
”HUEN”,”Entebbe International Airport”,3782,”UG”
”UKBB”,”Boryspil International Airport”,427,”UA”
”UKHH”,”Kharkiv International Airport”,508,”UA”
”UKOO”,”Odessa International Airport”,172,”UA”
”UKFF”,”Simferopol International Airport”,639,”UA”
”HTZA”,”Abeid Amani Karume International Airport”,54,”TZ”
”HTDA”,”Julius Nyerere International Airport”,182,”TZ”
”RCKH”,”Kaohsiung International Airport”,31,”TW”
”RCBS”,”Kinmen Airport”,93,”TW”
”RCTP”,”Taiwan Taoyuan International Airport”,106,”TW”
”LTAF”,”Adana Airport”,65,”TR”
”LTBJ”,”Adnan Menderes International Airport”,412,”TR”
”LTAI”,”Antalya International Airport”,177,”TR”
”LTBA”,”Atat√ºrk International Airport”,163,”TR”
”LTBS”,”Dalaman International Airport”,20,”TR”
”LTCE”,”Erzurum International Airport”,5763,”TR”
”LTAC”,”Esenboƒüa International Airport”,3125,”TR”
”LTAJ”,”Gaziantep International Airport”,2315,”TR”
”TR-0043”,”Istanbul Airport”,325,”TR”
”LTFE”,”Milas Bodrum International Airport”,21,”TR”
”LTFC”,”S√ºleyman Demirel International Airport”,2835,”TR”
”LTFJ”,”Sabiha G√∂k√ßen International Airport”,312,”TR”
”LTCG”,”Trabzon International Airport”,104,”TR”
”TN-0002”,”Enfidha - Hammamet International Airport”,21,”TN”
”DTTA”,”Tunis Carthage International Airport”,22,”TN”
”UTAA”,”Ashgabat International Airport”,692,”TM”
”VTCC”,”Chiang Mai International Airport”,1036,”TH”
”VTBD”,”Don Mueang International Airport”,9,”TH”
”VTSP”,”Phuket International Airport”,82,”TH”
”VTBS”,”Suvarnabhumi Airport”,5,”TH”
”FTTJ”,”N'Djamena International Airport”,968,”TD”
”OSAP”,”Aleppo International Airport”,1276,”SY”
”OSLK”,”Bassel Al-Assad International Airport”,157,”SY”
”OSDI”,”Damascus International Airport”,2020,”SY”
”TNCM”,”Princess Juliana International Airport”,13,”SX”
”MSLP”,”Monse√±or √ìscar Arnulfo Romero International Airport”,101,”SV”
”HSSJ”,”Juba International Airport”,1513,”SS”
”GOBD”,”Blaise Diagne International Airport”,290,”SN”
”GOOY”,”L√©opold S√©dar Senghor International Airport”,85,”SN”
”GFLL”,”Lungi International Airport”,84,”SL”
”LZIB”,”M. R. ≈†tef√°nik Airport”,436,”SK”
